DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
17-Oct-2025,13,35,39,44,47,3,5,"MJXT42228",1886
14-Oct-2025,5,8,14,16,18,3,10,"ZHXJ21923",1885
10-Oct-2025,6,7,17,20,21,1,10,"TGXG94724",1884
07-Oct-2025,24,39,42,43,48,5,8,"MFWZ19713",1883
03-Oct-2025,6,12,18,25,41,2,6,"VDVZ96056",1882
30-Sep-2025,3,8,15,17,48,2,8,"MCWF43688",1881
26-Sep-2025,4,17,25,28,44,5,11,"TBVX53006",1880
23-Sep-2025,11,13,24,29,33,2,5,"TZTX32518",1879
19-Sep-2025,8,10,26,32,42,9,12,"VXTP31153",1878
16-Sep-2025,1,9,13,35,40,5,6,"MWTL95001",1877
12-Sep-2025,5,10,23,31,37,3,11,"XVSM02393",1876
09-Sep-2025,3,13,24,39,40,2,8,"HTSQ65848",1875
05-Sep-2025,27,30,31,41,43,5,8,"VSRP82528",1874
02-Sep-2025,13,30,31,32,36,1,12,"XRRW68932",1873
29-Aug-2025,6,9,10,13,37,1,7,"JQQW80207",1872
26-Aug-2025,2,14,38,42,45,10,11,"MPQZ33912",1871
22-Aug-2025,6,9,12,30,39,4,10,"VNPP01805",1870
19-Aug-2025,24,31,34,41,43,6,8,"XMPX55830",1869
15-Aug-2025,13,30,35,36,40,2,6,"VLPL28287",1868
12-Aug-2025,18,28,42,46,48,3,9,"VKNH93941",1867
08-Aug-2025,2,12,19,34,44,6,10,"ZJMQ51115",1866
05-Aug-2025,1,3,5,42,47,5,10,"XHMB84675",1865
01-Aug-2025,4,16,25,29,30,2,10,"TGLL13138",1864
29-Jul-2025,5,6,42,44,46,4,8,"TBHP54441",1863
25-Jul-2025,6,7,23,32,36,11,12,"VDKF07947",1862
22-Jul-2025,8,15,26,33,41,9,10,"ZCJF97553",1861
18-Jul-2025,13,19,25,42,45,2,9,"HBHS90031,JBHN18640,JBHP51679,JBHR97772,JBHV34836,JBJB61723,MBHL89224,MBHN19727,XXGP10313,ZBHN32157",1860
15-Jul-2025,24,38,41,45,49,1,6,"XZHL02876",1859
11-Jul-2025,8,23,24,45,49,2,10,"TXGS29255",1858
08-Jul-2025,1,8,9,18,50,1,5,"MSDV09512",1857
04-Jul-2025,19,29,42,45,48,5,7,"XTFM90593",1856
01-Jul-2025,1,17,28,32,34,7,8,"ZTFH41326",1855
27-Jun-2025,19,27,36,45,49,7,10,"XSFF39672",1854
24-Jun-2025,7,16,21,23,39,7,11,"MQDD67764",1853
20-Jun-2025,5,8,24,37,47,3,9,"JQDG19394",1852
17-Jun-2025,13,22,23,44,49,3,5,"XPCD66044",1851
13-Jun-2025,2,28,40,43,45,3,7,"HMZR34844,HNBG00357,HNBR22291,HNBZ00729,HNZR99573,JNZZ66637,MNBC35019,TNBC30976,VNBF50450,VNZV56928,XNBL07259,ZNBP60221,ZNZP75021",1850
10-Jun-2025,19,36,39,40,45,5,6,"HMXQ77424",1849
06-Jun-2025,20,21,29,30,35,2,12,"VLWS75031",1848
03-Jun-2025,12,15,38,47,48,5,7,"HKVV08213",1847
30-May-2025,4,7,14,33,36,1,5,"MJTF42151",1846
27-May-2025,12,30,38,40,41,4,12,"XHSR16699",1845
23-May-2025,10,29,43,46,49,7,12,"MDQK77569",1844
20-May-2025,1,8,13,29,47,5,6,"TXNL48795",1843
16-May-2025,6,9,25,37,46,6,12,"ZDQK29611",1842
13-May-2025,9,19,44,47,50,2,9,"MCPZ71386",1841
09-May-2025,15,18,25,29,47,5,9,"ZBPQ30068",1840
06-May-2025,8,23,24,47,48,4,9,"MZNV58220",1839
02-May-2025,3,5,19,21,49,1,10,"HXNR64959,MWMQ34132,MXND70116,MXNN83635,TXNF71046,TXNJ86818,TXNK23029,XXNG99237,XXNR11682,ZXNJ16896",1838
29-Apr-2025,2,9,24,30,41,1,11,"ZWMS62356",1837
25-Apr-2025,13,22,32,39,41,1,12,"VVMJ17683",1836