DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker
31-May-24,4,7,16,33,34,7,8,MDFW59706
28-May-24,16,18,35,36,41,6,7,MCFL72403
24-May-24,9,12,18,22,50,1,3,VBFB54031
21-May-24,11,13,14,34,48,7,9,VZDS62828
17-May-24,18,31,32,41,46,1,10,ZWCV34866
14-May-24,2,8,17,28,35,7,9,VWCX50624
10-May-24,13,28,29,44,48,4,12,ZVCN94656
07-May-24,35,36,41,42,45,6,11,VTCF14977
03-May-24,6,9,10,30,49,3,4,ZSBZ49219
30-Apr-24,13,22,24,33,47,1,5,ZRBP55477
26-Apr-24,2,20,39,40,47,4,8,"HQBB14791,HQBD07795,HQZW37514,MQZZ72135,TQZM16260,TQZZ85050,VQZK16435,VQZL24239,VQZS23927,XQBB97678"
23-Apr-24,6,9,11,32,49,2,10,TPZG11349
19-Apr-24,10,20,40,44,46,1,3,ZNXG32348
16-Apr-24,22,29,31,39,46,3,7,XMXB32530
12-Apr-24,2,3,12,16,45,2,11,ZLWN91063
09-Apr-24,19,23,26,27,46,2,10,VKVV72035
05-Apr-24,13,18,26,35,37,8,11,VJVQ14654
02-Apr-24,1,23,31,36,48,5,8,JHVH21554
29-Mar-24,16,17,35,36,49,1,10,VFTF81881
26-Mar-24,2,13,14,26,29,5,6,TFTG63441
22-Mar-24,8,11,23,32,44,9,10,ZDTB31606
19-Mar-24,7,16,18,20,32,1,3,XVQK28198
15-Mar-24,1,4,31,34,40,4,5,JZRN27867
12-Mar-24,13,19,30,38,46,4,12,TZRT06068
08-Mar-24,8,11,12,16,44,4,7,VXRF83791
05-Mar-24,2,15,17,23,36,3,8,TNNF16473
01-Mar-24,4,7,19,20,34,2,4,XTQC64674
27-Feb-24,3,4,9,12,20,5,6,HTQJ75000
23-Feb-24,24,27,28,30,49,1,12,XSPW63863
20-Feb-24,23,31,37,42,48,3,7,ZRPN29998
16-Feb-24,8,13,14,24,26,1,2,HQPC98478
13-Feb-24,13,17,18,20,46,4,9,ZPNR01405
09-Feb-24,23,24,35,37,45,9,12,ZNNF46664
06-Feb-24,2,7,21,28,45,5,11,VMMT80660
02-Feb-24,13,20,23,27,42,5,9,MLMN53073
30-Jan-24,5,10,19,27,30,5,6,ZKLZ09716
26-Jan-24,8,19,32,41,42,9,12,ZJLH07076
23-Jan-24,14,23,39,48,50,3,12,XHLB93292
19-Jan-24,27,28,44,48,50,7,12,JCJC64566
16-Jan-24,10,18,21,33,45,8,12,XFKD58687
12-Jan-24,16,17,18,45,49,9,12,"HDKB61301,JDJL23606,MCHZ71207,MDJL54293,MDJX70412,VCHX27490,VDJQ24380,VDJR71692,VDJW25773,XCJJ06576"
09-Jan-24,2,9,12,39,40,1,3,HCJM97398
05-Jan-24,4,7,18,39,50,3,8,HBHT10647
02-Jan-24,7,15,18,46,49,10,12,HZHS17203
29-Dec-23,2,3,19,36,37,6,9,XWGT98285
26-Dec-23,8,27,30,35,47,9,10,MRFC62216
22-Dec-23,6,14,34,44,49,4,12,JVGH79636
19-Dec-23,10,20,41,43,45,2,12,MTFZ94261
15-Dec-23,2,13,37,38,48,5,9,XRFD41914
12-Dec-23,6,28,37,39,43,9,12,ZRFD22255
08-Dec-23,17,30,42,48,50,4,8,VQDM43160
05-Dec-23,4,6,20,24,25,5,9,VPCN94730
01-Dec-23,4,10,14,38,50,9,12,HNBN43150
28-Nov-23,12,16,27,33,44,7,8,HMBB37988
24-Nov-23,15,20,29,39,48,1,7,MLZN81825
21-Nov-23,19,29,34,46,47,2,3,VKZB21015
17-Nov-23,2,24,26,46,50,2,7,JJXZ65816